,﻿MessageID,ThreadID,ThreadName,MemberID,MemberName,Message,P_Year,P_Month,P_Day,P_Date,ThreadFirstMessageID
2,10004,1197,Latest Coalition Fatalities - Iraq/Afghanistan (Minstream Media),54,ANSAR 007,Iraq Office of the Assistant Secretary of Defense News Releases 04/22/09 honoluluadvertiser: Gunshot kills Marine in Iraq Marine Lance Cpl. Ray A. Spencer II was shot in the chest and killed Thursday while on base in Anbar province in Iraq...making Spencer at least the fifth noncombat-related death of a Hawai'i military member since early February. 04/22/09 MNF: MND-B Soldier combat death A Multi-National Division–Baghdad Soldier died April 22 from combat related injuries while conducting a patrol in eastern Baghdad. The Soldier’s name is being withheld pending notification of next of kin.,2009,04,22,2009-04-22 00:00:00.000,2051
16,10024,1165,GIMF: &quot;Glad Tiding for the Believers and Shaking for the Disbelievers&quot; Second and Final Part of the questionaire with brother Asad al-Jihad2,54,ANSAR 007,Full/whole document translated in english language http://rapidshare.com/files/22141436...Jihad.pdf.html http://rapidshare.com/files/22141452...Jihad.pdf.html http://rapidshare.com/files/22141498...Jihad.pdf.html http://www.mediafire.com/?nvwydgqu23k http://www.mediafire.com/?exjk5tcnnzt http://www.sendspace.com/file/mydd4c http://www.megaupload.com/?d=KAKOLBZN http://www.zshare.net/download/5865841133c35678/ http://www.zshare.net/download/58658800d6f4a6c7/ http://www.zshare.net/download/5865883315919906/ Source : 'the army of nineteen',2009,04,22,2009-04-22 00:00:00.000,2004
66,10088,1165,GIMF: &quot;Glad Tiding for the Believers and Shaking for the Disbelievers&quot; Second and Final Part of the questionaire with brother Asad al-Jihad2,7,Abu Irsaad,"Quote: Originally Posted by Acer007 Full/whole document translated in english language http://rapidshare.com/files/22141436...Jihad.pdf.html http://rapidshare.com/files/22141452...Jihad.pdf.html http://rapidshare.com/files/22141498...Jihad.pdf.html http://www.mediafire.com/?nvwydgqu23k http://www.mediafire.com/?exjk5tcnnzt http://www.sendspace.com/file/mydd4c http://www.megaupload.com/?d=KAKOLBZN http://www.zshare.net/download/5865841133c35678/ http://www.zshare.net/download/58658800d6f4a6c7/ http://www.zshare.net/download/5865883315919906/ as-Salaam 'Alaykum, I noticed that this document has GIMF's name on it, but it's not released in their typical manner. Are we allowed to spread this or should we wait?",2009,04,22,2009-04-22 00:00:00.000,2004
69,10091,1165,GIMF: &quot;Glad Tiding for the Believers and Shaking for the Disbelievers&quot; Second and Final Part of the questionaire with brother Asad al-Jihad2,12,Insurgent,"Quote: Originally Posted by Abu Irsaad as-Salaam 'Alaykum, I noticed that this document has GIMF's name on it, but it's not released in their typical manner. Are we allowed to spread this or should we wait? wa alykumus salam warahmatullahi wabarakatuh, brother Acer007 has posted different links to the same translation put in post #20. this translation is not done by the GIMF english department. but a newly formed group on falloja forum. why they have put the GIMF's name is not to show that the english translation is done by GIMF, but to show that the original interview in arabic is conducted by GIMF. its totally allowed to spread this version .",2009,04,22,2009-04-22 00:00:00.000,2004
73,10112,813,Images from Islamic Emirate of Caucasus,74,Abu Anas al-Ansari,"as-Salamu ‘alaykum,",2009,04,23,2009-04-23 00:00:00.000,1403
74,10113,813,Images from Islamic Emirate of Caucasus,guest1,guest1,Quote: Originally Posted by Abu-Ahmad As Salam Aleykum Amir Imam (ha) and Mujahid Mohammad (ha) Amir Imam (ha) with Amir Khamzat (ha) in center and Mujahid Mohammad (ha) on the right wa alaykum salaam wa rahmatullah does anybody have any information about the carbine carried by amir imam in these pictures? ive seen them quite a bit in photos of caucasas mujahideen and im assuming theyre ghanima from spetznaz etc.,2009,04,23,2009-04-23 00:00:00.000,1403
75,10116,813,Images from Islamic Emirate of Caucasus,148,Abu Umar,"As-Salaamu Aleikum I believe that it is a VSS 'Vintorez' rifle (the one amir Imam has looks like it has a different kind of scope on it than usual, so i'm not sure): It is a select-fire 'sniper rifle' chambered in a 9x39 subsonic round which has an integral suppressor around the barrel. It is popular in the Caucasus because of it's excellent armor piercing capabilities (up to 6mm of steel plating at 100m) and it's silence. They were only ever given in any number to Spetsnaz units, so I assume the mujahideen get them as ghanima from them. http://en.wikipedia.org/wiki/VSS_Vintorez",2009,04,23,2009-04-23 00:00:00.000,1403
76,10118,813,Images from Islamic Emirate of Caucasus,343,Asad'Allah,"Caliber: 9x39 mm (SP-5, SP-6) Action: Gas operated, rotating bolt with 6 lugs Length: 875 mm / 615 mm (stock open / folded) Barrel length: 200 mm Effective range: 400 meters Weight: 2,96 kg empty Magazine capacity: 10 or 20 rounds The Special Forces, generally known as “Spetsnaz” (after the Russian term “Voiska Spetsialnogo Naznacheniya” – Special Purpose Troops), always played a key role in Soviet Military Doctrine. One of the aspects of every Special Forces is that they prefer to operate stealthily, with as little sound and flash as possible from their weapons. The first generation Spetsnaz weapons were no more than AK and AKM rifles, fitted with quick-detachable sound suppressors, and loaded with special subsonic ammunition with heavy bullets. Apparently, this was not enough, since in the mid-1980s the development of new, more effective silenced weapons was initiated. At first, designers from TSNIITOCHMASH in the city of Klimovsk developed a special-purpose 9 mm subsonic cartridges, known as 9x39 SP-5 and SP-6, based on necked-out 7.62 x 39 case. These cartridges were fitted with heavy (about 16-17 gram) standard “ball” or armour piercing bullets, with muzzle velocities about 280-300 metres per second. Having the ammunition, the team at TSNIITOCHMASH, lead by P. Serdyukov, developed a family of integrally silenced 9 mm weapons, which included the VSS “Vintorez” silenced sniper rifle and the AS “Val” silenced assault rifle. Both weapons are based on the same action and integrally silenced barrel. AS is widely used by Russian Army recon units, as well as by MVD (Internal Affairs Ministry) and FSB (Federal Security Bureau) Special Forces. The AS is a gas operated, integrally silenced weapon. The receiver is machined from steel forging for improved strength. The long stroke gas piston is located above the barrel, and rigidly attached to the bolt carrier. The rotating bolt has six lugs and locks into the receiver. The front part of the barrel, ahead of the gas port, has several sets of holes, drilled at the bottom of the rifling grooves. These holes are used to bleed some of the gun gas into the integral silencer. The trigger unit is somewhat similar to that of the Czech-made Sa. Vz.58 assault rifle, and is striker-fired. The safety lever is similar to the one found on all Kalashnikov-type rifles, but the fire mode selector is a separate cross-bolt type button, located within the trigger guard, just behind the trigger. The open sights are graduated up to 400 meters in 25 meter increments, but the actual effective range is about 200-300 meters due to the rainbow-shaped trajectory of the subsonic bullets. The AS is optimized for high performance armor piercing 9 x 39 ammunition, designated as SP-6, but can also fire “ball” type SP-5 ammunition, intended for VSS sniper rifles. The pistol grip and the short forearm are made from polymer, the skeletonized, side-folding butt is made from steel tubing. The AS rifle has a standard side-mounted rail for optical, night vision or red dot scopes. It has no provision for mounting a bayonet or a grenade launcher. The integral silencer could be easily detached for maintenance, repair, or compact storage, but the rifle shall not be fired with the silencer removed due to safety and reliability issues. --",2009,04,23,2009-04-23 00:00:00.000,1403
135,10209,1197,Latest Coalition Fatalities - Iraq/Afghanistan (Minstream Media),10,Asadullah Alshishani,"Afghanistan: 04/23/09 burnleyexpress: Foulridge soldier (24) loses legs in Taliban attack Gregg Stevenson (24), a green beret commando with the 24 Engineer Regiment, was on foot patrol in the Helmand Province when he stepped on explosives. He has been left without one leg above the knee and the other below the knee.",2009,04,23,2009-04-23 00:00:00.000,2051
144,10230,1165,GIMF: &quot;Glad Tiding for the Believers and Shaking for the Disbelievers&quot; Second and Final Part of the questionaire with brother Asad al-Jihad2,10,Asadullah Alshishani,"Assalaamu alaykum, Was the first part of brother Asad al-Jihad2's interview ever released in English or just the second part? Insha'Allah, I will read this in the evening.",2009,04,23,2009-04-23 00:00:00.000,2004
